Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
25	0.2400	13.769061	-375.869812	1011.796997	70.031754	-370.124695	1013.569641	-11.031627	-353.765778	966.919739	42.858395	-348.419495	968.402039	38.217068	-287.538483	866.249695	176.294800	-765.816833	1334.933228	149.968323	-782.168213	1318.382446	205.020905	-715.039063	1338.827637	112.730522	-773.961792	1283.518188	170.368179	-707.441650	1303.143188
26	0.2500	13.781628	-375.865356	1011.816284	70.045319	-370.122803	1013.585510	-11.019030	-353.762085	966.941040	42.871311	-348.412659	968.422119	38.225544	-287.531250	866.260620	176.856049	-765.293213	1334.415161	150.496521	-781.545105	1317.802979	205.735031	-714.580872	1338.415894	113.310295	-773.171143	1282.908691	171.154587	-706.808655	1302.683350
27	0.2600	13.794100	-375.860901	1011.835388	70.058754	-370.120850	1013.601196	-11.006555	-353.758362	966.962158	42.884079	-348.405792	968.442017	38.233910	-287.524048	866.271362	177.440811	-764.649414	1333.946411	151.038803	-780.801941	1317.297363	206.473969	-714.015686	1338.011475	113.892113	-772.280945	1282.380859	171.948792	-706.088074	1302.239014
28	0.2700	13.806478	-375.856384	1011.854370	70.072075	-370.118835	1013.616760	-10.994203	-353.754578	966.983032	42.896706	-348.398956	968.461670	38.242172	-287.516937	866.281860	178.051514	-763.884827	1333.522827	151.598465	-779.938721	1316.860107	207.238876	-713.342163	1337.612427	114.479530	-771.290955	1281.929321	172.752075	-705.278564	1301.808228
29	0.2800	13.818761	-375.851868	1011.873108	70.085266	-370.116760	1013.632141	-10.981974	-353.750793	967.003662	42.909184	-348.392120	968.481079	38.250320	-287.509827	866.292175	178.689728	-763.000305	1333.139771	152.178162	-778.956909	1316.484741	208.030090	-712.559570	1337.217041	115.075768	-770.201965	1281.546997	173.565369	-704.379211	1301.389038
30	0.2900	13.830949	-375.847290	1011.891724	70.098343	-370.114655	1013.647400	-10.969868	-353.746948	967.024048	42.921516	-348.385254	968.500305	38.258362	-287.502777	866.302307	179.356155	-761.997803	1332.791992	152.779846	-777.859131	1316.163574	208.847198	-711.668335	1336.823486	115.683624	-769.015686	1281.226074	174.389252	-703.389709	1300.979492
31	0.3000	13.843042	-375.842712	1011.910095	70.111290	-370.112488	1013.662415	-10.957885	-353.743073	967.044189	42.933708	-348.378418	968.519287	38.266296	-287.495789	866.312195	180.050644	-760.880493	1332.473877	153.404678	-776.649475	1315.888184	209.689087	-710.669556	1336.430298	116.305405	-767.734680	1280.957153	175.224045	-702.310120	1300.577759
32	0.3100	13.855041	-375.838074	1011.928345	70.124123	-370.110260	1013.677368	-10.946025	-353.739166	967.064148	42.945751	-348.371552	968.538025	38.274120	-287.488861	866.321899	180.772232	-759.652527	1332.179443	154.053116	-775.332825	1315.649780	210.554047	-709.565308	1336.035889	116.942848	-766.362244	1280.730957	176.069717	-701.141296	1300.181641
33	0.3200	13.866943	-375.833435	1011.946411	70.136826	-370.107971	1013.692078	-10.934288	-353.735229	967.083862	42.957649	-348.364685	968.556519	38.281837	-287.481964	866.331360	181.519257	-758.319031	1331.902710	154.724854	-773.914856	1315.438965	211.439865	-708.358337	1335.639160	117.597137	-764.902283	1280.537354	176.926010	-699.884399	1299.789429
34	0.3300	13.878752	-375.828735	1011.964233	70.149406	-370.105652	1013.706665	-10.922673	-353.731262	967.103394	42.969402	-348.357849	968.574768	38.289444	-287.475098	866.340698	182.289444	-756.885559	1331.637817	155.418900	-772.401978	1315.246826	212.343964	-707.052124	1335.238892	118.268860	-763.359070	1280.366333	177.792496	-698.541077	1299.399170
