Trajectories
100
		head:TopLeft			head:TopRight			head:BottomLeft			head:BottomRight			head:Whole			head:Brow			head:Tip			head:StickTopLeft			head:StickTopRight			head:StickBottomLeft			head:StickBottomRight			head:StickEnd			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
27	0	-34.943027	-340.894226	1007.693420	21.199154	-344.806061	1010.759827	-54.566589	-313.516113	963.475037	-0.766718	-317.259399	966.328430				7.418268	-253.143631	865.650330	180.634247	-392.240479	1231.418579	197.959671	-407.835663	1205.376709	135.483047	-357.714417	1243.537476	196.558273	-415.248535	1154.320068	134.917480	-363.098602	1193.506104			
28	0	-34.944126	-340.893616	1007.693420	21.197908	-344.805145	1010.759827	-54.567528	-313.514496	963.475525	-0.767658	-317.258911	966.328247				7.417812	-253.143311	865.650269	180.058487	-391.795837	1231.643311	197.436111	-407.424133	1205.641235	134.866501	-357.275635	1243.654419	196.125809	-414.921967	1154.584351	134.394714	-362.746948	1193.623169			
29	0	-34.945236	-340.893066	1007.693542	21.196651	-344.804260	1010.759705	-54.568478	-313.512878	963.475952	-0.768609	-317.258484	966.328064				7.417351	-253.142990	865.650208	179.488083	-391.378662	1231.861694	196.916702	-407.039307	1205.897461	134.255859	-356.863525	1243.766968	195.696182	-414.621124	1154.838501	133.877075	-362.421356	1193.735840			
30	0	-34.946354	-340.892456	1007.693665	21.195385	-344.803375	1010.759705	-54.569435	-313.511353	963.476440	-0.769570	-317.257965	966.327942				7.416883	-253.142654	865.650208	178.924072	-390.992035	1232.073242	196.402252	-406.683685	1206.144531	133.652588	-356.481293	1243.875244	195.269928	-414.346436	1155.082153	133.365479	-362.122742	1193.844116			
31	0	-34.947479	-340.891937	1007.693665	21.194111	-344.802460	1010.759705	-54.570408	-313.509796	963.476868	-0.770541	-317.257538	966.327759				7.416409	-253.142365	865.650146	178.367538	-390.639130	1232.277100	195.893570	-406.359497	1206.382080	133.058212	-356.131897	1243.979248	194.847595	-414.098236	1155.315308	132.860977	-361.852142	1193.947754			
32	0	-34.948620	-340.891388	1007.693787	21.192829	-344.801605	1010.759705	-54.571388	-313.508209	963.477295	-0.771522	-317.257111	966.327637				7.415928	-253.142059	865.650146	177.819550	-390.322784	1232.473022	195.391403	-406.069031	1206.609375	132.474136	-355.818298	1244.078491	194.429779	-413.876801	1155.537598	132.364456	-361.610291	1194.046997			
33	0	-34.949772	-340.890869	1007.693787	21.191536	-344.800781	1010.759705	-54.572376	-313.506683	963.477844	-0.772513	-317.256622	966.327515				7.415442	-253.141754	865.650146	177.281082	-390.045563	1232.659790	194.896530	-405.814178	1206.825684	131.901764	-355.542999	1244.173340	194.017029	-413.682159	1155.749146	131.876892	-361.397858	1194.141479			
34	0	-34.950939	-340.890381	1007.693909	21.190231	-344.799896	1010.759705	-54.573383	-313.505188	963.478271	-0.773514	-317.256226	966.327332				7.414948	-253.141464	865.650146	176.753067	-389.809387	1232.837402	194.409714	-405.596344	1207.030518	131.342346	-355.307770	1244.263062	193.609909	-413.514252	1155.949585	131.399185	-361.215210	1194.231567			
35	0	-34.952106	-340.889862	1007.693909	21.188921	-344.799103	1010.759705	-54.574394	-313.503693	963.478760	-0.774525	-317.255829	966.327209				7.414450	-253.141190	865.650085	176.236420	-389.615601	1233.004883	193.931625	-405.416351	1207.223389	130.797028	-355.113800	1244.347778	193.209015	-413.372772	1156.139038	130.932205	-361.062225	1194.316772			
36	0	-34.953293	-340.889435	1007.693909	21.187595	-344.798309	1010.759705	-54.575420	-313.502197	963.479187	-0.775547	-317.255371	966.327026				7.413945	-253.140930	865.650085	175.731949	-389.464569	1233.161865	193.462982	-405.274445	1207.404053	130.266815	-354.961517	1244.427368	192.814987	-413.257111	1156.317261	130.476791	-360.938629	1194.396851			
37	0	-34.954483	-340.888916	1007.694031	21.186264	-344.797485	1010.759583	-54.576454	-313.500702	963.479553	-0.776578	-317.255005	966.326904				7.413434	-253.140625	865.650085	175.240356	-389.355865	1233.308105	193.004410	-405.170166	1207.571899	129.752579	-354.850372	1244.501343	192.428406	-413.166443	1156.483887	130.033646	-360.843506	1194.472168			
38	0	-34.955688	-340.888489	1007.694031	21.184925	-344.796722	1010.759583	-54.577499	-313.499237	963.480042	-0.777620	-317.254639	966.326721				7.412917	-253.140396	865.650085	174.762238	-389.288177	1233.442993	192.556595	-405.102325	1207.726807	129.254959	-354.778992	1244.569946	192.049896	-413.099579	1156.639648	129.603455	-360.775635	1194.542358			
39	0	-34.956902	-340.888062	1007.694031	21.183575	-344.795929	1010.759583	-54.578548	-313.497803	963.480469	-0.778671	-317.254242	966.326599				7.412393	-253.140121	865.650085	174.298157	-389.259308	1233.567017	192.120056	-405.068909	1207.869141	128.774506	-354.745087	1244.632690	191.680069	-413.055267	1156.784180	129.186890	-360.733368	1194.607422			
40	0	-34.958126	-340.887604	1007.694153	21.182213	-344.795227	1010.759583	-54.579620	-313.496399	963.480896	-0.779733	-317.253876	966.326416				7.411864	-253.139877	865.650085	173.848480	-389.266174	1233.679932	191.695358	-405.067444	1207.999146	128.311584	-354.745575	1244.689941	191.319565	-413.031738	1156.917969	128.784454	-360.714508	1194.667358			
41	0	-34.959366	-340.887207	1007.694153	21.180843	-344.794495	1010.759583	-54.580696	-313.494995	963.481323	-0.780804	-317.253540	966.326233				7.411328	-253.139648	865.650085	173.413589	-389.304993	1233.781982	191.283035	-405.094727	1208.116943	127.866432	-354.776459	1244.741577	190.969009	-413.027191	1157.040894	128.396667	-360.716614	1194.721802			
42	0	-34.960613	-340.886841	1007.694153	21.179466	-344.793732	1010.759583	-54.581783	-313.493622	963.481750	-0.781886	-317.253204	966.326111				7.410786	-253.139404	865.650085	172.993713	-389.371368	1233.873901	190.883514	-405.147064	1208.223389	127.439140	-354.833435	1244.787476	190.628998	-413.039612	1157.153687	128.023941	-360.737000	1194.771362			
